Date,Ativo,Retorno_Diario
2016-12-29,BBAS3.SA,0.01444566338395914
2017-01-02,BBAS3.SA,-0.019579886544465075
2017-01-03,BBAS3.SA,0.045751515048266356
2017-01-04,BBAS3.SA,-0.005208223417123237
2017-01-05,BBAS3.SA,-0.00244319192631981
2017-01-06,BBAS3.SA,0.010846527337190048
2017-01-09,BBAS3.SA,-0.03772918685387605
2017-01-10,BBAS3.SA,0.013669004776371674
2017-01-11,BBAS3.SA,0.010645811998972299
2017-01-12,BBAS3.SA,0.025281138488025157
2017-01-13,BBAS3.SA,-0.02602740117878788
2017-01-16,BBAS3.SA,0.0007029949020058712
2017-01-17,BBAS3.SA,0.016162706985689113
2017-01-18,BBAS3.SA,-0.00829850887148098
2017-01-19,BBAS3.SA,0.0010460402718999173
2017-01-20,BBAS3.SA,0.022291897750048806
2017-01-23,BBAS3.SA,0.04531539376976301
2017-01-24,BBAS3.SA,-0.018904514119185145
2017-01-26,BBAS3.SA,0.06312274038063581
2017-01-27,BBAS3.SA,-0.01906271336464782
2017-01-30,BBAS3.SA,-0.02771594698492319
2017-01-31,BBAS3.SA,0.019332039701500436
2017-02-01,BBAS3.SA,0.004821268375523102
2017-02-02,BBAS3.SA,-0.009276652595972101
2017-02-03,BBAS3.SA,-0.0025837548351437256
2017-02-06,BBAS3.SA,-0.024926890869916618
2017-02-07,BBAS3.SA,0.0092958094513651
2017-02-08,BBAS3.SA,0.01052623579212475
2017-02-09,BBAS3.SA,-0.0032543305551522295
2017-02-10,BBAS3.SA,0.018288488508985346
2017-02-13,BBAS3.SA,0.006413432173973499
2017-02-14,BBAS3.SA,0.003187243866008327
2017-02-15,BBAS3.SA,0.012071104928772058
2017-02-16,BBAS3.SA,0.032329463754901644
2017-02-17,BBAS3.SA,0.000607447669372041
2017-02-20,BBAS3.SA,0.016104601174218747
2017-02-21,BBAS3.SA,0.01674665534038522
2017-02-22,BBAS3.SA,0.0026471490042143664
2017-02-23,BBAS3.SA,-0.02170734593635648
2017-02-24,BBAS3.SA,-0.007496092887392503
2017-03-01,BBAS3.SA,0.015105524768556977
2017-03-02,BBAS3.SA,-0.009355221033585992
2017-03-03,BBAS3.SA,0.04870724769287338
2017-03-06,BBAS3.SA,0.008027252029341403
2017-03-07,BBAS3.SA,-0.012229595580900754
2017-03-08,BBAS3.SA,-0.023610332064076145
2017-03-09,BBAS3.SA,-0.010321637209465995
