Date,Ativo,Retorno_Diario
2022-12-20,BBAS3.SA,0.025796387190450076
2022-12-21,BBAS3.SA,0.009467677360708526
2022-12-22,BBAS3.SA,0.009085446026296351
2022-12-23,BBAS3.SA,0.024687792940794706
2022-12-26,BBAS3.SA,-0.0014172347169244537
2022-12-27,BBAS3.SA,-0.033210359250123056
2022-12-28,BBAS3.SA,0.01790930465398266
2022-12-29,BBAS3.SA,0.0017308816179002484
2023-01-02,BBAS3.SA,-0.042326623055492285
2023-01-03,BBAS3.SA,-0.018640955554518168
2023-01-04,BBAS3.SA,0.012867805458921078
2023-01-05,BBAS3.SA,0.04567434654182034
2023-01-06,BBAS3.SA,0.013884953224874153
2023-01-09,BBAS3.SA,-0.00970050439829373
2023-01-10,BBAS3.SA,0.01699813684573548
2023-01-11,BBAS3.SA,0.014164248558023562
2023-01-12,BBAS3.SA,-0.006424586173555347
2023-01-13,BBAS3.SA,0.002249088129562926
2023-01-16,BBAS3.SA,-0.0011220878575473048
2023-01-17,BBAS3.SA,0.05869116067918201
2023-01-18,BBAS3.SA,0.014323750238151023
2023-01-19,BBAS3.SA,0.02275125571139469
2023-01-20,BBAS3.SA,0.02454586315070917
2023-01-23,BBAS3.SA,-0.007486785770411619
2023-01-24,BBAS3.SA,-0.005028920820383864
2023-01-25,BBAS3.SA,0.02729342892304376
2023-01-26,BBAS3.SA,-0.0004920053557386783
2023-01-27,BBAS3.SA,-0.011075392548810958
2023-01-30,BBAS3.SA,0.01567951347291885
2023-01-31,BBAS3.SA,-0.002695478337734647
2023-02-01,BBAS3.SA,-0.012039379521238569
2023-02-02,BBAS3.SA,-0.01890102434461194
2023-02-03,BBAS3.SA,-0.006336777177990749
2023-02-06,BBAS3.SA,0.005612248677334453
2023-02-07,BBAS3.SA,-0.013698761066321508
2023-02-08,BBAS3.SA,0.023662446980279306
2023-02-09,BBAS3.SA,-0.005276326385038721
2023-02-10,BBAS3.SA,0.01970214350500421
2023-02-13,BBAS3.SA,0.005697244255318257
2023-02-14,BBAS3.SA,0.023399090483938734
2023-02-15,BBAS3.SA,0.009145382483434883
2023-02-16,BBAS3.SA,0.011209224977529963
2023-02-17,BBAS3.SA,0.009905781425086468
2023-02-22,BBAS3.SA,-0.024754916219070222
2023-02-23,BBAS3.SA,0.008141654069005355
2023-02-24,BBAS3.SA,-0.019216266449387898
2023-02-27,BBAS3.SA,-0.013586934095209613
2023-02-28,BBAS3.SA,0.009266348208001318
2023-03-01,BBAS3.SA,-0.03225827166755524
2023-03-02,BBAS3.SA,-0.040256333071321704
2023-03-03,BBAS3.SA,0.011220999015308264
2023-03-06,BBAS3.SA,0.022721126161396432
2023-03-07,BBAS3.SA,0.022991555772029493
2023-03-08,BBAS3.SA,0.010100820465900995
2023-03-09,BBAS3.SA,-0.021749725148624388
2023-03-10,BBAS3.SA,-0.018911409357154407
2023-03-13,BBAS3.SA,-0.006251596436533058
2023-03-14,BBAS3.SA,-0.0076185984331983425
2023-03-15,BBAS3.SA,0.0010666763774713761
2023-03-16,BBAS3.SA,0.010652232021863828
2023-03-17,BBAS3.SA,-0.017128084268560384
2023-03-20,BBAS3.SA,-0.00562962779651921
2023-03-21,BBAS3.SA,0.011862974418894279
2023-03-22,BBAS3.SA,0.002398043852091858
2023-03-23,BBAS3.SA,-0.010898411343339576
2023-03-24,BBAS3.SA,0.010212273232777624
2023-03-27,BBAS3.SA,0.0005321100610224949
2023-03-28,BBAS3.SA,0.006912822257083784
2023-03-29,BBAS3.SA,0.011618884629915671
2023-03-30,BBAS3.SA,0.018271948193297805
2023-03-31,BBAS3.SA,0.0025635246450190774
2023-04-03,BBAS3.SA,-0.011761691512221617
2023-04-04,BBAS3.SA,0.01655890247643832
2023-04-05,BBAS3.SA,-0.0035633100683710728
2023-04-06,BBAS3.SA,-0.003320509747366196
2023-04-10,BBAS3.SA,0.0005126093170282342
2023-04-11,BBAS3.SA,0.023052973637819774
2023-04-12,BBAS3.SA,0.06960472673711537
2023-04-13,BBAS3.SA,-0.00046826651359699323
2023-04-14,BBAS3.SA,0.017096295849876597
2023-04-17,BBAS3.SA,0.0023021969788374896
2023-04-18,BBAS3.SA,0.001837998460159529
2023-04-19,BBAS3.SA,-0.011694701145214426
2023-04-20,BBAS3.SA,0.009513044484670052
2023-04-24,BBAS3.SA,-0.0020685641254878373
2023-04-25,BBAS3.SA,-0.009212305521155928
2023-04-26,BBAS3.SA,-0.008135946311727094
2023-04-27,BBAS3.SA,0.001171874274475293
2023-04-28,BBAS3.SA,0.003277101702008567
2023-05-02,BBAS3.SA,-0.023798364408342043
2023-05-03,BBAS3.SA,-0.0031072482551742775
2023-05-04,BBAS3.SA,0.01126855174425656
2023-05-05,BBAS3.SA,0.02536729004789473
2023-05-08,BBAS3.SA,-0.00393057398021468
2023-05-09,BBAS3.SA,-0.0030177021355063394
2023-05-10,BBAS3.SA,0.013038645727955878
2023-05-11,BBAS3.SA,0.0204548483860143
2023-05-12,BBAS3.SA,-0.003828978522566806
2023-05-15,BBAS3.SA,0.004748150800375717
2023-05-16,BBAS3.SA,-0.02880315836371261
2023-05-17,BBAS3.SA,0.0016221709222459246
2023-05-18,BBAS3.SA,-0.0006941672053283332
2023-05-19,BBAS3.SA,0.019444248098940964
2023-05-22,BBAS3.SA,-0.013169642053765473
2023-05-23,BBAS3.SA,0.023469918848492144
2023-05-24,BBAS3.SA,0.0029226159220467895
2023-05-25,BBAS3.SA,0.00112080735751241
2023-05-26,BBAS3.SA,-0.0058216732848141994
2023-05-29,BBAS3.SA,-0.0018019834207445573
2023-05-30,BBAS3.SA,0.008573978929581783
2023-05-31,BBAS3.SA,-0.001789785654368936
2023-06-01,BBAS3.SA,0.0026896488170999877
2023-06-02,BBAS3.SA,0.017683870415815317
2023-06-05,BBAS3.SA,0.00625837613144653
2023-06-06,BBAS3.SA,0.011550498925792851
2023-06-07,BBAS3.SA,-0.0004391811113092503
2023-06-09,BBAS3.SA,0.04876971736452429
2023-06-12,BBAS3.SA,0.036238131605287105
2023-06-13,BBAS3.SA,-0.01040833266661334
2023-06-14,BBAS3.SA,0.004936025830152957
2023-06-15,BBAS3.SA,0.020466716979445465
